Name,none,all,example,eight_hours,25,50,60,70,75,80,90,100,Worst_1h,Worst_2h,Worst_3h,Worst_4h,Worst_5h,Worst_6h,Worst_12h
0,0,1,0.8,0.33,0.25,0.5,0.6,0.7,0.75,0.8,0.9,1,1,1,1,1,1,1,1
1,0,1,0.8,0.33,0.25,0.5,0.6,0.7,0.75,0.8,0.9,1,1,1,1,1,1,1,1
2,0,1,0.8,0.33,0.25,0.5,0.6,0.7,0.75,0.8,0.9,1,1,1,1,1,1,1,1
3,0,1,0.8,0.33,0.25,0.5,0.6,0.7,0.75,0.8,0.9,1,1,1,1,1,1,1,1
4,0,1,0.8,0.33,0.25,0.5,0.6,0.7,0.75,0.8,0.9,1,1,1,1,1,1,1,0
5,0,1,0.8,0.33,0.25,0.5,0.6,0.7,0.75,0.8,0.9,1,1,1,1,1,1,1,1
6,0,1,0.5,0.33,0.25,0.5,0.6,0.7,0.75,0.8,0.9,1,1,1,1,1,1,1,1
7,0,1,0.3,0.33,0.25,0.5,0.6,0.7,0.75,0.8,0.9,1,1,1,1,1,1,1,0
8,0,1,0.3,0.33,0.25,0.5,0.6,0.7,0.75,0.8,0.9,1,1,1,1,1,1,1,0
9,0,1,0.3,0.33,0.25,0.5,0.6,0.7,0.75,0.8,0.9,1,1,1,1,1,1,1,1
10,0,1,0.5,0.33,0.25,0.5,0.6,0.7,0.75,0.8,0.9,1,1,1,1,1,1,1,0
11,0,1,0.5,0.33,0.25,0.5,0.6,0.7,0.75,0.8,0.9,1,1,1,1,1,0,0,0
12,0,1,0.5,0.33,0.25,0.5,0.6,0.7,0.75,0.8,0.9,1,1,1,1,0,0,0,0
13,0,1,0.5,0.33,0.25,0.5,0.6,0.7,0.75,0.8,0.9,1,0,0,0,0,0,0,0
14,0,1,0.5,0.33,0.25,0.5,0.6,0.7,0.75,0.8,0.9,1,1,1,1,1,1,0,0
15,0,1,0.5,0.33,0.25,0.5,0.6,0.7,0.75,0.8,0.9,1,1,1,1,1,1,1,0
16,0,1,0.5,0.33,0.25,0.5,0.6,0.7,0.75,0.8,0.9,1,1,1,1,1,1,1,1
17,0,1,0.1,0.33,0.25,0.5,0.6,0.7,0.75,0.8,0.9,1,1,1,1,1,1,1,0
18,0,1,0.1,0.33,0.25,0.5,0.6,0.7,0.75,0.8,0.9,1,1,0,0,0,0,0,0
19,0,1,0.1,0.33,0.25,0.5,0.6,0.7,0.75,0.8,0.9,1,1,1,0,0,0,0,0
20,0,1,0.1,0.33,0.25,0.5,0.6,0.7,0.75,0.8,0.9,1,1,1,1,1,1,1,1
21,0,1,0.5,0.33,0.25,0.5,0.6,0.7,0.75,0.8,0.9,1,1,1,1,1,1,1,1
22,0,1,0.7,0.33,0.25,0.5,0.6,0.7,0.75,0.8,0.9,1,1,1,1,1,1,1,1
23,0,1,0.7,0.33,0.25,0.5,0.6,0.7,0.75,0.8,0.9,1,1,1,1,1,1,1,1
