"","Maximum","Mean","Median"
0,1443.8788868405,495.085049301386,425.333113366272
1,2485.71796240917,789.544044605605,672.346029426808
2,3374.95246640797,1291.51541021143,1142.90435843583
3,4481.47943382327,1888.19655121554,1797.40514935865
4,7096.00714715264,2498.67613456038,2413.03397546843
5,7350.52556342554,3120.44998194889,3085.6164930781
6,10453.1117277279,3840.85848199251,3756.68289073995
7,11997.9396446717,4422.37450278899,4259.83499803895
8,13259.9131959558,4915.30934512606,4705.76918998674
9,16063.386705082,5142.65274168541,4890.84942707618
