"","Domestic","Commercial","Public"
0,258.542511390751,0,0
1,278.206619976482,0,0
2,237.364605460859,0,0
3,244.909048519156,0,0
4,222.925453338652,0,0
5,227.29084884048,0,0
6,243.753091385364,0,0
7,236.553975647045,0,0
8,239.115557869259,4500,0
9,367.993028760275,4500,0
10,382.974268828209,4500,0
11,340.769022827261,4500,0
12,299.346783337509,4500,0
13,297.278161317742,4500,0
14,317.716240768345,4500,0
15,334.653113752128,0,0
16,415.205329882611,0,0
17,446.677202126625,0,0
18,553.648175080174,0,0
19,574.419567669513,0,0
20,704.754894851461,0,0
21,737.030211911012,0,0
22,728.101089536237,0,0
23,633.861359124134,0,0
24,258.542511390751,0,0
25,278.206619976482,0,0
26,237.364605460859,0,0
27,244.909048519156,0,0
28,222.925453338652,0,0
29,227.29084884048,0,0
30,243.753091385364,0,0
31,236.553975647045,0,0
32,239.115557869259,4500,0
33,367.993028760275,4500,0
34,382.974268828209,4500,0
35,340.769022827261,4500,0
36,299.346783337509,4500,0
37,297.278161317742,4500,0
38,317.716240768345,4500,0
39,334.653113752128,0,0
40,415.205329882611,0,0
41,446.677202126625,0,0
42,553.648175080174,0,0
43,574.419567669513,0,0
44,704.754894851461,0,0
45,737.030211911012,0,0
46,728.101089536237,0,0
47,633.861359124134,0,0
48,258.542511390751,0,0
49,278.206619976482,0,0
50,237.364605460859,0,0
51,244.909048519156,0,0
52,222.925453338652,0,0
53,227.29084884048,0,0
54,243.753091385364,0,0
55,236.553975647045,0,0
56,239.115557869259,4500,0
57,367.993028760275,4500,0
58,382.974268828209,4500,0
59,340.769022827261,4500,0
60,299.346783337509,4500,0
61,297.278161317742,4500,0
62,317.716240768345,4500,0
63,334.653113752128,0,0
64,415.205329882611,0,0
65,446.677202126625,0,0
66,553.648175080174,0,0
67,574.419567669513,0,0
68,704.754894851461,0,0
69,737.030211911012,0,0
70,728.101089536237,0,0
71,633.861359124134,0,0
72,258.542511390751,0,0
73,278.206619976482,0,0
74,237.364605460859,0,0
75,244.909048519156,0,0
76,222.925453338652,0,0
77,227.29084884048,0,0
78,243.753091385364,0,0
79,236.553975647045,0,0
80,239.115557869259,4500,0
81,367.993028760275,4500,0
82,382.974268828209,4500,0
83,340.769022827261,4500,0
84,299.346783337509,4500,0
85,297.278161317742,4500,0
86,317.716240768345,4500,0
87,334.653113752128,0,0
88,415.205329882611,0,0
89,446.677202126625,0,0
90,553.648175080174,0,0
91,574.419567669513,0,0
92,704.754894851461,0,0
93,737.030211911012,0,0
94,728.101089536237,0,0
95,633.861359124134,0,0
96,196.001678478463,0,0
97,205.465748631579,0,0
98,189.149360401343,0,0
99,178.278724735203,0,0
100,179.460226983358,0,0
101,180.280545913197,0,0
102,171.547277183893,0,0
103,145.783747878265,0,0
104,151.574464802739,4500,0
105,155.427078407758,4500,0
106,166.86520758578,4500,0
107,174.377894713318,4500,0
108,250.85466864996,4500,0
109,230.920521045781,4500,0
110,222.951991388055,4500,0
111,255.31416229498,0,0
112,236.564014959795,0,0
113,423.236917571476,0,0
114,636.124531391584,0,0
115,714.794679341671,0,0
116,695.51608865879,0,0
117,722.167417587272,0,0
118,561.962459299848,0,0
119,363.78789189139,0,0
120,196.001678478463,0,0
121,205.465748631579,0,0
122,189.149360401343,0,0
123,178.278724735203,0,0
124,179.460226983358,0,0
125,180.280545913197,0,0
126,171.547277183893,0,0
127,145.783747878265,0,0
128,151.574464802739,4500,0
129,155.427078407758,4500,0
130,166.86520758578,4500,0
131,174.377894713318,4500,0
132,250.85466864996,4500,0
133,230.920521045781,4500,0
134,222.951991388055,4500,0
135,255.31416229498,0,0
136,236.564014959795,0,0
137,423.236917571476,0,0
138,636.124531391584,0,0
139,714.794679341671,0,0
140,695.51608865879,0,0
141,722.167417587272,0,0
142,561.962459299848,0,0
143,363.78789189139,0,0
144,258.542511390751,0,0
145,278.206619976482,0,0
146,237.364605460859,0,0
147,244.909048519156,0,0
148,222.925453338652,0,0
149,227.29084884048,0,0
150,243.753091385364,0,0
151,236.553975647045,0,0
152,239.115557869259,4500,0
153,367.993028760275,4500,0
154,382.974268828209,4500,0
155,340.769022827261,4500,0
156,299.346783337509,4500,0
157,297.278161317742,4500,0
158,317.716240768345,4500,0
159,334.653113752128,0,0
160,415.205329882611,0,0
161,446.677202126625,0,0
