"","Maximum","Mean","Median"
0,5065.5284942113,1147.40158545055,465.905199112222
1,5637.34770801899,1441.86058075477,819.224930697309
2,6546.00137396392,1943.83194636059,1431.47835361198
3,7671.73921614155,2540.5130873647,2160.69489275604
4,8572.99725356204,3150.99267070954,2836.02953376058
5,9564.3557352101,3772.76651809805,3479.59982953798
6,11602.6570989377,4493.17501814167,4157.73269538443
7,14532.2463202515,5074.69103893815,4725.40182410542
8,14319.0622494435,5567.62588127522,5403.00828109215
9,17683.889330347,5794.96927783458,5553.82841570848
