"","Maximum","Mean","Median"
0,2557.2996473836,984.532610263532,952.3687155568
1,4585.73571825608,1797.03797594261,1679.71820756708
2,7761.06584591465,3152.29491629409,2917.67639816589
3,12067.5003213118,4807.58783681103,4478.61087391826
4,19798.8326984261,7110.50681204524,7066.64386529834
5,26175.5682829314,9497.79632271646,8596.31099808512
6,42484.0280050937,13050.5210829317,11378.2985262518
7,69251.9063655321,17807.9472546726,15370.5385940021
8,88745.0573463714,21917.7329911373,18061.9810573505
9,94231.6561252715,24115.1191441019,19507.6533617756
