"","Maximum","Mean","Median"
0,6187.54773462159,1636.8491464127,1045.73087825555
1,6949.30235509662,2449.35451209178,1997.19707827184
2,9686.32202933098,3804.61145244325,3833.7412220833
3,14008.041240844,5459.9043729602,5773.72920821874
4,19462.0793650927,7762.8233481944,7971.73835825152
5,25838.8149495981,10150.1128588656,10004.1085911933
6,42202.7913384271,13702.8376190809,12419.4899027756
7,68915.1530321988,18460.2637908218,16248.1755468978
8,88408.3040130381,22570.0495272864,19385.3988261414
9,93894.9027919382,24767.435680251,20183.8225760183
