"","Maximum","Mean","Median"
0,1149.72666666667,359.590813546423,301.668333333333
1,1676.87111384553,658.092397416092,618.453730332852
2,2799.55556699473,1088.21200991602,1039.22224805534
3,4325.21353341165,1755.69003736646,1667.18429938259
4,6217.1412414466,2608.56118468457,2503.32127022994
5,8858.62801283776,3675.17640398644,3448.04250574491
6,11587.510171381,4806.351734604,4463.34953152069
7,13704.1091656055,5859.20177000458,5691.38646104248
8,15090.9305077684,6423.77783671023,6022.89601944943
9,15548.1586548813,6707.31262638162,6429.80596408032
