"","Maximum","Mean","Median"
0,4737.46666666667,964.47448630137,231.033333333333
1,5063.18556542705,1143.2781357136,442.923554944108
2,5595.66398092332,1441.3271308685,800.420319827301
3,6090.24028053595,1834.83326000987,1303.37529501288
4,6942.6028908557,2280.70045009015,1876.06700723479
5,7368.33288822144,2715.95997919583,2321.68592008051
6,8071.34266704277,3220.11982152394,2827.77093180097
7,8169.96083675352,3570.91719277127,3243.28821047551
8,9405.12080811453,3787.7741510468,3419.32284068999
9,9407.51902479215,3900.43732571663,3529.40684209036
