"","Domestic","Commercial","Public"
0,117.183333333333,0,0
1,153.083333333333,0,0
2,155.833333333333,0,0
3,146.183333333333,0,0
4,131.766666666667,0,0
5,141.7,0,0
6,121.116666666667,0,0
7,87.2999999999999,0,0
8,96.5833333333333,4500,0
9,132.1,4500,0
10,142.666666666667,4500,0
11,101.916666666667,4500,0
12,123.8,4500,0
13,101.533333333333,4500,0
14,138.416666666667,4500,0
15,171.05,0,0
16,223.35,0,0
17,334.783333333333,0,0
18,346.033333333333,0,0
19,290.633333333333,0,0
20,318.816666666666,0,0
21,369.533333333333,0,0
22,397.6,0,0
23,245.35,0,0
24,117.183333333333,0,0
25,153.083333333333,0,0
26,155.833333333333,0,0
27,146.183333333333,0,0
28,131.766666666667,0,0
29,141.7,0,0
30,121.116666666667,0,0
31,87.2999999999999,0,0
32,96.5833333333333,4500,0
33,132.1,4500,0
34,142.666666666667,4500,0
35,101.916666666667,4500,0
36,123.8,4500,0
37,101.533333333333,4500,0
38,138.416666666667,4500,0
39,171.05,0,0
40,223.35,0,0
41,334.783333333333,0,0
42,346.033333333333,0,0
43,290.633333333333,0,0
44,318.816666666666,0,0
45,369.533333333333,0,0
46,397.6,0,0
47,245.35,0,0
48,117.183333333333,0,0
49,153.083333333333,0,0
50,155.833333333333,0,0
51,146.183333333333,0,0
52,131.766666666667,0,0
53,141.7,0,0
54,121.116666666667,0,0
55,87.2999999999999,0,0
56,96.5833333333333,4500,0
57,132.1,4500,0
58,142.666666666667,4500,0
59,101.916666666667,4500,0
60,123.8,4500,0
61,101.533333333333,4500,0
62,138.416666666667,4500,0
63,171.05,0,0
64,223.35,0,0
65,334.783333333333,0,0
66,346.033333333333,0,0
67,290.633333333333,0,0
68,318.816666666666,0,0
69,369.533333333333,0,0
70,397.6,0,0
71,245.35,0,0
72,117.183333333333,0,0
73,153.083333333333,0,0
74,155.833333333333,0,0
75,146.183333333333,0,0
76,131.766666666667,0,0
77,141.7,0,0
78,121.116666666667,0,0
79,87.2999999999999,0,0
80,96.5833333333333,4500,0
81,132.1,4500,0
82,142.666666666667,4500,0
83,101.916666666667,4500,0
84,123.8,4500,0
85,101.533333333333,4500,0
86,138.416666666667,4500,0
87,171.05,0,0
88,223.35,0,0
89,334.783333333333,0,0
90,346.033333333333,0,0
91,290.633333333333,0,0
92,318.816666666666,0,0
93,369.533333333333,0,0
94,397.6,0,0
95,245.35,0,0
96,123.916666666667,0,0
97,178.45,0,0
98,138.566666666667,0,0
99,128.066666666667,0,0
100,125,0,0
101,128.55,0,0
102,116.666666666667,0,0
103,80.75,0,0
104,144.733333333333,4500,0
105,149.25,4500,0
106,119.833333333333,4500,0
107,142.983333333333,4500,0
108,141.3,4500,0
109,198.416666666667,4500,0
110,285.783333333333,4500,0
111,254.25,0,0
112,331.15,0,0
113,305.583333333333,0,0
114,320,0,0
115,375.283333333333,0,0
116,377.2,0,0
117,384.733333333333,0,0
118,431.716666666667,0,0
119,322.133333333333,0,0
120,123.916666666667,0,0
121,178.45,0,0
122,138.566666666667,0,0
123,128.066666666667,0,0
124,125,0,0
125,128.55,0,0
126,116.666666666667,0,0
127,80.75,0,0
128,144.733333333333,4500,0
129,149.25,4500,0
130,119.833333333333,4500,0
131,142.983333333333,4500,0
132,141.3,4500,0
133,198.416666666667,4500,0
134,285.783333333333,4500,0
135,254.25,0,0
136,331.15,0,0
137,305.583333333333,0,0
138,320,0,0
139,375.283333333333,0,0
140,377.2,0,0
141,384.733333333333,0,0
142,431.716666666667,0,0
143,322.133333333333,0,0
144,117.183333333333,0,0
145,153.083333333333,0,0
146,155.833333333333,0,0
147,146.183333333333,0,0
148,131.766666666667,0,0
149,141.7,0,0
150,121.116666666667,0,0
151,87.2999999999999,0,0
152,96.5833333333333,4500,0
153,132.1,4500,0
154,142.666666666667,4500,0
155,101.916666666667,4500,0
156,123.8,4500,0
157,101.533333333333,4500,0
158,138.416666666667,4500,0
159,171.05,0,0
