"","Maximum","Mean","Median"
0,4796.05,999.763287671233,294.05
1,5151.9929412803,1301.80241268732,652.131172791974
2,6014.55235096656,1762.79666323814,1178.62614450538
3,6817.68625149002,2451.63652810828,1960.53345050622
4,8153.8503142234,3276.11218659695,3036.92721389874
5,10098.8280329911,4391.460427799,4536.12436336741
6,11661.9901116499,5616.39159240633,6052.04775110633
7,14682.2855648019,6803.82620727907,7281.71840352323
8,18017.0356817526,7621.38389484336,7937.2461400127
9,20813.0325971015,8309.30751830394,8457.91288104586
