"","Maximum","Mean","Median"
0,4801.18333333333,965.845182648402,244.633333333333
1,5120.76118111036,1163.4205173442,464.549521585137
2,5441.05444355733,1437.83211926135,828.78789786089
3,5995.80846447,1881.41475776918,1364.4222851018
4,6824.69350893,2331.19767730762,1962.13361503407
5,7296.87712433894,2780.87734545035,2443.54293968321
6,7858.75198087195,3330.07148250625,3055.90832998834
7,8983.17562025853,3842.48605118262,3601.77305392557
8,12169.2505574932,4347.10196246858,4064.98359986601
9,15957.1744361083,4957.85222875528,4718.4463507057
