"","Maximum","Mean","Median"
0,4617.45,886.361082572298,149.55
1,4746.23333333333,950.347035768645,219.816666666667
2,4901.05,1078.06806126332,378.733333333333
3,5577.95,1392.73437404871,701.166666666667
4,6257.80268237987,1883.93930294638,1285.47917579798
5,7218.57211184798,2379.98281148093,1888.00795349921
6,7608.60278605075,2777.48239239943,2323.11445641162
7,8365.01059230665,3284.4096966428,2999.88219626431
8,9024.59301771429,4003.01187687312,4023.16654955272
9,10756.6845325595,5097.21691594849,5473.08200571057
