"","Maximum","Mean","Median"
0,975.669999999998,222.341991248097,171.235
1,1113.22,263.57074695586,212.16
2,1342.10333333333,367.54370738204,306.536666666667
3,1614.92,554.821839041096,462.688333333333
4,2473.88075431315,882.109648542014,768.425759501841
5,3625.85660489558,1236.89130454562,1050.74361036269
6,4169.56518819393,1499.24499734452,1308.92764450779
7,4591.80380432221,1678.85884315813,1522.7171356787
8,5470.73351996125,2023.10263182069,1836.79955243258
9,5928.23124829421,2435.07528158371,2300.17646779907
