# Renewables.ninja Solar PV (Point API) - 22.779, 84.404 - Version: 1.1 (using GSEE v0.3.1) - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.060,,,,,,,,,,,,,,,,,
# Units: time in UTC, local_time in Asia/Kolkata, electricity in kW, irradiance_direct in kW/m², irradiance_diffuse in kW/m², temperature in ºC,,,,,,,,,,,,,
"# {""units"": {""time"": ""UTC"""," ""local_time"": ""Asia/Kolkata"""," ""electricity"": ""kW"""," ""irradiance_direct"": ""kW/m\u00b2"""," ""irradiance_diffuse"": ""kW/m\u00b2"""," ""temperature"": ""\u00baC""}"," ""params"": {""local_time"": true"," ""header"": true"," ""lat"": ""22.7789"""," ""lon"": ""84.4044"""," ""date_from"": ""2019-01-01"""," ""date_to"": ""2019-12-31"""," ""dataset"": ""merra2"""," ""capacity"": ""1"""," ""system_loss"": ""0.1"""," ""tracking"": ""0"""," ""tilt"": ""19"""," ""azim"": ""180"""," ""raw"": true}}"
time,local_time,electricity,irradiance_direct,irradiance_diffuse,temperature,,,,,,,,,,,,,
01/01/2019 00:00,01/01/2019 05:30,0,0,0,5.67,,,,,,,,,,,,,
01/01/2019 01:00,01/01/2019 06:30,0.068,0.051,0.036,6.693,,,,,,,,,,,,,
01/01/2019 02:00,01/01/2019 07:30,0.29,0.238,0.091,11.303,,,,,,,,,,,,,
01/01/2019 03:00,01/01/2019 08:30,0.487,0.465,0.102,14.432,,,,,,,,,,,,,
01/01/2019 04:00,01/01/2019 09:30,0.614,0.642,0.107,18.125,,,,,,,,,,,,,
01/01/2019 05:00,01/01/2019 10:30,0.685,0.75,0.108,20.194,,,,,,,,,,,,,
01/01/2019 06:00,01/01/2019 11:30,0.724,0.827,0.098,21.44,,,,,,,,,,,,,
01/01/2019 07:00,01/01/2019 12:30,0.68,0.763,0.099,22.352,,,,,,,,,,,,,
01/01/2019 08:00,01/01/2019 13:30,0.586,0.629,0.098,22.693,,,,,,,,,,,,,
01/01/2019 09:00,01/01/2019 14:30,0.442,0.442,0.092,22.387,,,,,,,,,,,,,
01/01/2019 10:00,01/01/2019 15:30,0.236,0.205,0.078,21.141,,,,,,,,,,,,,
01/01/2019 11:00,01/01/2019 16:30,0.025,0.022,0.02,18.482,,,,,,,,,,,,,
01/01/2019 12:00,01/01/2019 17:30,0,0,0,16.905,,,,,,,,,,,,,
01/01/2019 13:00,01/01/2019 18:30,0,0,0,15.909,,,,,,,,,,,,,
01/01/2019 14:00,01/01/2019 19:30,0,0,0,15.192,,,,,,,,,,,,,
01/01/2019 15:00,01/01/2019 20:30,0,0,0,14.518,,,,,,,,,,,,,
01/01/2019 16:00,01/01/2019 21:30,0,0,0,13.582,,,,,,,,,,,,,
01/01/2019 17:00,01/01/2019 22:30,0,0,0,12.176,,,,,,,,,,,,,
01/01/2019 18:00,01/01/2019 23:30,0,0,0,11.402,,,,,,,,,,,,,
01/01/2019 19:00,02/01/2019 00:30,0,0,0,10.457,,,,,,,,,,,,,
01/01/2019 20:00,02/01/2019 01:30,0,0,0,9.715,,,,,,,,,,,,,
01/01/2019 21:00,02/01/2019 02:30,0,0,0,9.192,,,,,,,,,,,,,
01/01/2019 22:00,02/01/2019 03:30,0,0,0,8.765,,,,,,,,,,,,,
01/01/2019 23:00,02/01/2019 04:30,0,0,0,8.367,,,,,,,,,,,,,
02/01/2019 00:00,02/01/2019 05:30,0,0,0,8.029,,,,,,,,,,,,,
02/01/2019 01:00,02/01/2019 06:30,0.084,0.071,0.034,8.621,,,,,,,,,,,,,
02/01/2019 02:00,02/01/2019 07:30,0.319,0.286,0.077,12.42,,,,,,,,,,,,,
02/01/2019 03:00,02/01/2019 08:30,0.513,0.516,0.086,15.328,,,,,,,,,,,,,
02/01/2019 04:00,02/01/2019 09:30,0.635,0.691,0.092,19.373,,,,,,,,,,,,,
02/01/2019 05:00,02/01/2019 10:30,0.7,0.796,0.095,21.962,,,,,,,,,,,,,
02/01/2019 06:00,02/01/2019 11:30,0.719,0.833,0.094,23.256,,,,,,,,,,,,,
02/01/2019 07:00,02/01/2019 12:30,0.684,0.783,0.093,23.912,,,,,,,,,,,,,
02/01/2019 08:00,02/01/2019 13:30,0.595,0.654,0.091,24.077,,,,,,,,,,,,,
02/01/2019 09:00,02/01/2019 14:30,0.432,0.429,0.095,23.459,,,,,,,,,,,,,
02/01/2019 10:00,02/01/2019 15:30,0.226,0.19,0.081,21.46,,,,,,,,,,,,,
02/01/2019 11:00,02/01/2019 16:30,0.024,0.021,0.02,17.855,,,,,,,,,,,,,
02/01/2019 12:00,02/01/2019 17:30,0,0,0,16.186,,,,,,,,,,,,,
02/01/2019 13:00,02/01/2019 18:30,0,0,0,15.051,,,,,,,,,,,,,
02/01/2019 14:00,02/01/2019 19:30,0,0,0,13.897,,,,,,,,,,,,,
02/01/2019 15:00,02/01/2019 20:30,0,0,0,12.997,,,,,,,,,,,,,
02/01/2019 16:00,02/01/2019 21:30,0,0,0,12.076,,,,,,,,,,,,,
02/01/2019 17:00,02/01/2019 22:30,0,0,0,11.153,,,,,,,,,,,,,
02/01/2019 18:00,02/01/2019 23:30,0,0,0,10.323,,,,,,,,,,,,,
02/01/2019 19:00,03/01/2019 00:30,0,0,0,9.646,,,,,,,,,,,,,
02/01/2019 20:00,03/01/2019 01:30,0,0,0,8.997,,,,,,,,,,,,,
02/01/2019 21:00,03/01/2019 02:30,0,0,0,8.476,,,,,,,,,,,,,
02/01/2019 22:00,03/01/2019 03:30,0,0,0,8.113,,,,,,,,,,,,,
02/01/2019 23:00,03/01/2019 04:30,0,0,0,7.951,,,,,,,,,,,,,
03/01/2019 00:00,03/01/2019 05:30,0,0,0,7.878,,,,,,,,,,,,,
03/01/2019 01:00,03/01/2019 06:30,0.078,0.064,0.035,8.799,,,,,,,,,,,,,
03/01/2019 02:00,03/01/2019 07:30,0.31,0.274,0.081,13.411,,,,,,,,,,,,,
03/01/2019 03:00,03/01/2019 08:30,0.507,0.514,0.087,16.78,,,,,,,,,,,,,
03/01/2019 04:00,03/01/2019 09:30,0.634,0.696,0.09,20.416,,,,,,,,,,,,,
03/01/2019 05:00,03/01/2019 10:30,0.703,0.807,0.091,22.655,,,,,,,,,,,,,
03/01/2019 06:00,03/01/2019 11:30,0.727,0.852,0.089,23.533,,,,,,,,,,,,,
03/01/2019 07:00,03/01/2019 12:30,0.692,0.801,0.088,23.896,,,,,,,,,,,,,
03/01/2019 08:00,03/01/2019 13:30,0.603,0.67,0.086,23.776,,,,,,,,,,,,,
03/01/2019 09:00,03/01/2019 14:30,0.456,0.471,0.082,23.059,,,,,,,,,,,,,
03/01/2019 10:00,03/01/2019 15:30,0.248,0.224,0.072,21.107,,,,,,,,,,,,,
03/01/2019 11:00,03/01/2019 16:30,0.03,0.028,0.02,17.243,,,,,,,,,,,,,
03/01/2019 12:00,03/01/2019 17:30,0,0,0,15.599,,,,,,,,,,,,,
03/01/2019 13:00,03/01/2019 18:30,0,0,0,14.468,,,,,,,,,,,,,
03/01/2019 14:00,03/01/2019 19:30,0,0,0,13.218,,,,,,,,,,,,,
03/01/2019 15:00,03/01/2019 20:30,0,0,0,11.976,,,,,,,,,,,,,
