# Renewables.ninja Solar PV (Point API) - -1.886, 30.130 - Version: 1.1 (using GSEE v0.3.1) - License: https://creativecommons.org/licenses/by-nc/4.0/ - Reference: https://doi.org/10.1016/j.energy.2016.08.060,,,,,,,,,,,,,,,,,
# Units: time in UTC, local_time in Africa/Kigali, electricity in kW, irradiance_direct in kW/m², irradiance_diffuse in kW/m², temperature in ºC,,,,,,,,,,,,,
"# {""units"": {""time"": ""UTC"""," ""local_time"": ""Africa/Kigali"""," ""electricity"": ""kW"""," ""irradiance_direct"": ""kW/m\u00b2"""," ""irradiance_diffuse"": ""kW/m\u00b2"""," ""temperature"": ""\u00baC""}"," ""params"": {""local_time"": true"," ""header"": true"," ""lat"": ""-1.8859597"""," ""lon"": ""30.1296751"""," ""date_from"": ""2019-01-01"""," ""date_to"": ""2019-12-31"""," ""dataset"": ""merra2"""," ""capacity"": ""1"""," ""system_loss"": ""0.1"""," ""tracking"": ""0"""," ""tilt"": ""35"""," ""azim"": ""180"""," ""raw"": true}}"
time,local_time,electricity,irradiance_direct,irradiance_diffuse,temperature,,,,,,,,,,,,,
01/01/2019 00:00,01/01/2019 02:00,0,0,0,15.295,,,,,,,,,,,,,
01/01/2019 01:00,01/01/2019 03:00,0,0,0,15.343,,,,,,,,,,,,,
01/01/2019 02:00,01/01/2019 04:00,0,0,0,15.467,,,,,,,,,,,,,
01/01/2019 03:00,01/01/2019 05:00,0,0,0,15.664,,,,,,,,,,,,,
01/01/2019 04:00,01/01/2019 06:00,0.023,0,0.039,16.453,,,,,,,,,,,,,
01/01/2019 05:00,01/01/2019 07:00,0.096,0.002,0.12,17.821,,,,,,,,,,,,,
01/01/2019 06:00,01/01/2019 08:00,0.186,0.01,0.213,19.005,,,,,,,,,,,,,
01/01/2019 07:00,01/01/2019 09:00,0.267,0.022,0.294,19.957,,,,,,,,,,,,,
01/01/2019 08:00,01/01/2019 10:00,0.302,0.025,0.334,20.703,,,,,,,,,,,,,
01/01/2019 09:00,01/01/2019 11:00,0.322,0.027,0.355,21.344,,,,,,,,,,,,,
01/01/2019 10:00,01/01/2019 12:00,0.347,0.037,0.378,22.059,,,,,,,,,,,,,
01/01/2019 11:00,01/01/2019 13:00,0.354,0.05,0.375,22.772,,,,,,,,,,,,,
01/01/2019 12:00,01/01/2019 14:00,0.328,0.058,0.336,23.201,,,,,,,,,,,,,
01/01/2019 13:00,01/01/2019 15:00,0.239,0.032,0.256,22.964,,,,,,,,,,,,,
01/01/2019 14:00,01/01/2019 16:00,0.129,0.007,0.155,22.167,,,,,,,,,,,,,
01/01/2019 15:00,01/01/2019 17:00,0.033,0,0.052,20.512,,,,,,,,,,,,,
01/01/2019 16:00,01/01/2019 18:00,0,0,0,18.324,,,,,,,,,,,,,
01/01/2019 17:00,01/01/2019 19:00,0,0,0,17.672,,,,,,,,,,,,,
01/01/2019 18:00,01/01/2019 20:00,0,0,0,17.166,,,,,,,,,,,,,
01/01/2019 19:00,01/01/2019 21:00,0,0,0,16.763,,,,,,,,,,,,,
01/01/2019 20:00,01/01/2019 22:00,0,0,0,16.57,,,,,,,,,,,,,
01/01/2019 21:00,01/01/2019 23:00,0,0,0,16.436,,,,,,,,,,,,,
01/01/2019 22:00,02/01/2019 00:00,0,0,0,16.242,,,,,,,,,,,,,
01/01/2019 23:00,02/01/2019 01:00,0,0,0,15.856,,,,,,,,,,,,,
02/01/2019 00:00,02/01/2019 02:00,0,0,0,15.226,,,,,,,,,,,,,
02/01/2019 01:00,02/01/2019 03:00,0,0,0,14.683,,,,,,,,,,,,,
02/01/2019 02:00,02/01/2019 04:00,0,0,0,14.224,,,,,,,,,,,,,
02/01/2019 03:00,02/01/2019 05:00,0,0,0,13.986,,,,,,,,,,,,,
02/01/2019 04:00,02/01/2019 06:00,0.031,0,0.049,15.511,,,,,,,,,,,,,
02/01/2019 05:00,02/01/2019 07:00,0.106,0.055,0.079,18.687,,,,,,,,,,,,,
02/01/2019 06:00,02/01/2019 08:00,0.266,0.233,0.085,22.498,,,,,,,,,,,,,
02/01/2019 07:00,02/01/2019 09:00,0.4,0.389,0.097,24.708,,,,,,,,,,,,,
02/01/2019 08:00,02/01/2019 10:00,0.491,0.503,0.106,26.024,,,,,,,,,,,,,
02/01/2019 09:00,02/01/2019 11:00,0.534,0.559,0.112,26.987,,,,,,,,,,,,,
02/01/2019 10:00,02/01/2019 12:00,0.532,0.558,0.113,27.584,,,,,,,,,,,,,
02/01/2019 11:00,02/01/2019 13:00,0.485,0.496,0.111,27.793,,,,,,,,,,,,,
02/01/2019 12:00,02/01/2019 14:00,0.393,0.379,0.105,27.546,,,,,,,,,,,,,
02/01/2019 13:00,02/01/2019 15:00,0.264,0.227,0.096,26.841,,,,,,,,,,,,,
02/01/2019 14:00,02/01/2019 16:00,0.116,0.062,0.087,25.583,,,,,,,,,,,,,
02/01/2019 15:00,02/01/2019 17:00,0.032,0,0.052,22.885,,,,,,,,,,,,,
02/01/2019 16:00,02/01/2019 18:00,0,0,0,20.194,,,,,,,,,,,,,
02/01/2019 17:00,02/01/2019 19:00,0,0,0,19.372,,,,,,,,,,,,,
02/01/2019 18:00,02/01/2019 20:00,0,0,0,18.48,,,,,,,,,,,,,
02/01/2019 19:00,02/01/2019 21:00,0,0,0,17.646,,,,,,,,,,,,,
02/01/2019 20:00,02/01/2019 22:00,0,0,0,16.915,,,,,,,,,,,,,
02/01/2019 21:00,02/01/2019 23:00,0,0,0,16.677,,,,,,,,,,,,,
02/01/2019 22:00,03/01/2019 00:00,0,0,0,16.579,,,,,,,,,,,,,
02/01/2019 23:00,03/01/2019 01:00,0,0,0,16.227,,,,,,,,,,,,,
03/01/2019 00:00,03/01/2019 02:00,0,0,0,15.639,,,,,,,,,,,,,
03/01/2019 01:00,03/01/2019 03:00,0,0,0,15.231,,,,,,,,,,,,,
03/01/2019 02:00,03/01/2019 04:00,0,0,0,15.133,,,,,,,,,,,,,
03/01/2019 03:00,03/01/2019 05:00,0,0,0,15.377,,,,,,,,,,,,,
03/01/2019 04:00,03/01/2019 06:00,0.031,0,0.049,16.931,,,,,,,,,,,,,
03/01/2019 05:00,03/01/2019 07:00,0.108,0.053,0.085,20.139,,,,,,,,,,,,,
03/01/2019 06:00,03/01/2019 08:00,0.262,0.212,0.103,23.016,,,,,,,,,,,,,
03/01/2019 07:00,03/01/2019 09:00,0.398,0.376,0.108,24.641,,,,,,,,,,,,,
03/01/2019 08:00,03/01/2019 10:00,0.485,0.479,0.121,25.781,,,,,,,,,,,,,
