hour_in_day,Device,Season,hourly_usage_wh
1,Fan,Oct - Jan,0
2,Fan,Oct - Jan,0
3,Fan,Oct - Jan,0
4,Fan,Oct - Jan,0
5,Fan,Oct - Jan,0
6,Fan,Oct - Jan,0
7,Fan,Oct - Jan,0
8,Fan,Oct - Jan,0
9,Fan,Oct - Jan,0
10,Fan,Oct - Jan,0
11,Fan,Oct - Jan,0
12,Fan,Oct - Jan,0
13,Fan,Oct - Jan,0
14,Fan,Oct - Jan,0
15,Fan,Oct - Jan,0
16,Fan,Oct - Jan,0
17,Fan,Oct - Jan,0
18,Fan,Oct - Jan,0
19,Fan,Oct - Jan,0
20,Fan,Oct - Jan,0
21,Fan,Oct - Jan,0
22,Fan,Oct - Jan,0
23,Fan,Oct - Jan,0
24,Fan,Oct - Jan,0
1,Fan,Feb - May,1440
2,Fan,Feb - May,1440
3,Fan,Feb - May,1440
4,Fan,Feb - May,1440
5,Fan,Feb - May,0
6,Fan,Feb - May,0
7,Fan,Feb - May,0
8,Fan,Feb - May,0
9,Fan,Feb - May,0
10,Fan,Feb - May,0
11,Fan,Feb - May,1440
12,Fan,Feb - May,1440
13,Fan,Feb - May,1440
14,Fan,Feb - May,1440
15,Fan,Feb - May,1440
16,Fan,Feb - May,1440
17,Fan,Feb - May,0
18,Fan,Feb - May,0
19,Fan,Feb - May,0
20,Fan,Feb - May,1440
21,Fan,Feb - May,1440
22,Fan,Feb - May,1440
23,Fan,Feb - May,1440
24,Fan,Feb - May,1440
1,Fan,Jun - Sep,240
2,Fan,Jun - Sep,240
3,Fan,Jun - Sep,240
4,Fan,Jun - Sep,240
5,Fan,Jun - Sep,0
6,Fan,Jun - Sep,0
7,Fan,Jun - Sep,0
8,Fan,Jun - Sep,0
9,Fan,Jun - Sep,0
10,Fan,Jun - Sep,0
11,Fan,Jun - Sep,240
12,Fan,Jun - Sep,240
13,Fan,Jun - Sep,240
14,Fan,Jun - Sep,240
15,Fan,Jun - Sep,240
16,Fan,Jun - Sep,240
17,Fan,Jun - Sep,0
18,Fan,Jun - Sep,0
19,Fan,Jun - Sep,0
20,Fan,Jun - Sep,240
21,Fan,Jun - Sep,240
22,Fan,Jun - Sep,240
23,Fan,Jun - Sep,240
24,Fan,Jun - Sep,240
1,Rice Mill,Oct - Jan,0
2,Rice Mill,Oct - Jan,0
3,Rice Mill,Oct - Jan,0
