"","Maximum","Mean","Median"
0,1811.25596270561,639.002992309263,598.318924771958
1,2587.39218352633,1095.55632827839,1063.36651197961
2,4903.847839411,2018.20218721452,1960.01584523118
3,8342.32613910467,3261.23459623289,3090.95880920523
4,11147.1100042454,4791.08543123773,4624.57007791922
5,16591.5593648647,6657.06667252883,6549.44775613241
6,20690.2213502732,8659.4497354711,8738.26469079053
7,26314.0550734794,10573.472820983,10459.5080772123
8,36182.0348674503,12225.3511679249,11945.6443578691
9,35376.5938229307,12663.9831101851,12280.6669115422
