"","Maximum","Mean","Median"
0,5247.41339811374,1291.31952845843,655.67565164277
1,5763.76348745602,1747.87286442755,1200.13430426451
2,8052.69984243621,2670.51872336368,2319.68708675305
3,10207.4769478104,3913.55113238205,3898.12065785673
4,13344.6950296523,5443.40196738689,5869.7772305884
5,18443.0327667742,7309.383208678,7779.14545461984
6,22491.1680169398,9311.76627162026,9794.69515254526
7,28615.9770331956,11225.7893571322,11363.7191193813
8,38759.0914352547,12877.667704074,12714.5011405889
9,38561.2532966928,13316.2996463342,13230.6086496429
