"","Maximum","Mean","Median"
0,1522.78377186807,488.330157455986,417.597960629892
1,2341.27580955323,773.125959476375,685.137330016671
2,3989.28210742451,1336.00081173535,1260.79856949938
3,4643.34400648228,1973.3069262781,1939.82084149268
4,7325.11479144487,2801.0914395907,2820.68602848452
5,10674.1435209914,4012.35950741743,4195.5432522122
6,18210.282679202,5534.53258151674,5451.61459445477
7,23408.7621030199,7344.25597533935,7342.47739648572
8,30292.4185538374,8674.08191316395,8165.44282862839
9,30032.0824460989,9422.48977470582,9215.72553495335
