"","Maximum","Mean","Median"
0,5119.30816827685,1140.64669360515,424.781767032275
1,5452.6936657755,1425.44249562554,793.952088461774
2,6689.52988721469,1988.31734788452,1493.37150686145
3,7705.17244639094,2625.62346242726,2185.04289753912
4,10310.5746908976,3453.40797573986,3169.50478299783
5,13515.6979638083,4664.67604356659,4473.80737084101
6,22394.9960125353,6186.84911766591,5776.853864167
7,25329.9087696866,7996.57251148851,7591.68048511775
8,32327.025220504,9326.39844931312,8524.27742086881
9,31953.2291127655,10074.806310855,9591.37361791347
