"","Maximum","Mean","Median"
0,2927.6425679466,1047.07455454701,984.316162359767
1,4907.25708783792,1909.494631879,1857.10683397986
2,8440.5446647009,3422.09381189418,3388.35241310889
3,13290.1239177752,5444.94345912142,5356.65312492106
4,20531.657997484,8111.64117096776,8051.83742884835
5,30512.2468597608,11604.2867321703,11346.2091346606
6,47303.7365109267,16246.3660452491,15759.8761913267
7,64301.0043802798,21004.1321290651,18793.3945068307
8,87360.8696507518,26161.3994042293,22721.596036364
9,105475.239440283,28138.6291220748,24589.4908793609
