"","Maximum","Mean","Median"
0,5968.02754402914,1376.71765243254,722.381729475835
1,6427.38882681397,1827.14612006964,1271.30690640787
2,8595.29451501731,2769.21066443435,2317.93374990716
3,10817.095329565,3873.62187192571,3553.88909282171
4,15086.227703563,5406.42884675248,5186.16150248833
5,23287.4067087836,7800.77365102802,7530.85639584735
6,31414.6969186507,10263.4733646105,10278.534064616
7,39724.9888344159,12649.0048736278,12429.0776777315
8,51218.8804419408,14668.0916019632,14539.5737400679
9,64610.1484568433,16100.1940539729,15992.8600101318
