"","Maximum","Mean","Median"
0,1790.16039399383,648.040718306919,594.964397450723
1,2883.11179642163,1104.53564576918,1082.32457690434
2,5125.2536171284,2003.4926794261,1948.62964707536
3,7449.32757319516,3209.79820183781,3063.57913494876
4,13549.4111287907,5088.17177661455,5037.1347071512
5,17968.694805319,7115.84507389473,7096.74271436904
6,25743.6915292943,9373.33415301591,8911.87426829068
7,35440.667953043,12649.3610609838,12434.5941653813
8,45496.845529751,16727.3623117679,15808.172037803
9,71702.1586353512,21131.9592445904,19165.0979419283
