"","Maximum","Mean","Median"
0,1361.73809677326,461.203839634115,386.554865903008
1,2347.23482174487,778.173312590454,678.915353127164
2,3551.14818040449,1298.04836045954,1228.50248204502
3,6079.85913313326,1967.39870555782,1891.01632031742
4,8424.56675800734,2936.99828560865,2955.08327392787
5,11910.1202820521,4110.30174197899,4097.21510238273
6,15351.4897019105,5880.36712130381,5937.97663574184
7,23281.688079029,8247.85021626344,8269.81301069503
8,33797.1474660176,10367.6433039724,10581.3938232912
9,37550.2153646447,12370.9638239226,12588.9926727315
