"","Domestic","Commercial","Public"
0,123.583333333333,0,0
1,150.683333333333,0,0
2,151.333333333333,0,0
3,154.416666666667,0,0
4,145.916666666667,0,0
5,149.866666666667,0,0
6,123.6,0,0
7,77.85,0,0
8,74.2666666666667,4500,0
9,78.85,4500,0
10,77.5666666666667,4500,0
11,98.8166666666667,4500,0
12,107.266666666667,4500,0
13,111.083333333333,4500,0
14,124.016666666667,4500,0
15,133.583333333333,0,0
16,226.833333333333,0,0
17,325.35,0,0
18,406.5,0,0
19,390.333333333333,0,0
20,372.2,0,0
21,394.5,0,0
22,420.333333333333,0,0
23,268.266666666667,0,0
24,123.583333333333,0,0
25,150.683333333333,0,0
26,151.333333333333,0,0
27,154.416666666667,0,0
28,145.916666666667,0,0
29,149.866666666667,0,0
30,123.6,0,0
31,77.85,0,0
32,74.2666666666667,4500,0
33,78.85,4500,0
34,77.5666666666667,4500,0
35,98.8166666666667,4500,0
36,107.266666666667,4500,0
37,111.083333333333,4500,0
38,124.016666666667,4500,0
39,133.583333333333,0,0
40,226.833333333333,0,0
41,325.35,0,0
42,406.5,0,0
43,390.333333333333,0,0
44,372.2,0,0
45,394.5,0,0
46,420.333333333333,0,0
47,268.266666666667,0,0
48,123.583333333333,0,0
49,150.683333333333,0,0
50,151.333333333333,0,0
51,154.416666666667,0,0
52,145.916666666667,0,0
53,149.866666666667,0,0
54,123.6,0,0
55,77.85,0,0
56,74.2666666666667,4500,0
57,78.85,4500,0
58,77.5666666666667,4500,0
59,98.8166666666667,4500,0
60,107.266666666667,4500,0
61,111.083333333333,4500,0
62,124.016666666667,4500,0
63,133.583333333333,0,0
64,226.833333333333,0,0
65,325.35,0,0
66,406.5,0,0
67,390.333333333333,0,0
68,372.2,0,0
69,394.5,0,0
70,420.333333333333,0,0
71,268.266666666667,0,0
72,123.583333333333,0,0
73,150.683333333333,0,0
74,151.333333333333,0,0
75,154.416666666667,0,0
76,145.916666666667,0,0
77,149.866666666667,0,0
78,123.6,0,0
79,77.85,0,0
80,74.2666666666667,4500,0
81,78.85,4500,0
82,77.5666666666667,4500,0
83,98.8166666666667,4500,0
84,107.266666666667,4500,0
85,111.083333333333,4500,0
86,124.016666666667,4500,0
87,133.583333333333,0,0
88,226.833333333333,0,0
89,325.35,0,0
90,406.5,0,0
91,390.333333333333,0,0
92,372.2,0,0
93,394.5,0,0
94,420.333333333333,0,0
95,268.266666666667,0,0
96,122.283333333333,0,0
97,157.716666666667,0,0
98,136.133333333333,0,0
99,125.833333333333,0,0
100,121.8,0,0
101,127.366666666667,0,0
102,118.166666666667,0,0
103,110.85,0,0
104,197.366666666667,4500,0
105,250.233333333333,4500,0
106,244.116666666667,4500,0
107,83.55,4500,0
108,99.3666666666666,4500,0
109,112.7,4500,0
110,103.716666666667,4500,0
111,77.7,0,0
112,268.666666666667,0,0
113,412.483333333333,0,0
114,388.3,0,0
115,369.766666666667,0,0
116,407.85,0,0
117,411.016666666667,0,0
118,459.283333333333,0,0
119,405.383333333333,0,0
120,122.283333333333,0,0
121,157.716666666667,0,0
122,136.133333333333,0,0
123,125.833333333333,0,0
124,121.8,0,0
125,127.366666666667,0,0
126,118.166666666667,0,0
127,110.85,0,0
128,197.366666666667,4500,0
129,250.233333333333,4500,0
130,244.116666666667,4500,0
131,83.55,4500,0
132,99.3666666666666,4500,0
133,112.7,4500,0
134,103.716666666667,4500,0
135,77.7,0,0
136,268.666666666667,0,0
137,412.483333333333,0,0
138,388.3,0,0
139,369.766666666667,0,0
140,407.85,0,0
141,411.016666666667,0,0
142,459.283333333333,0,0
143,405.383333333333,0,0
144,123.583333333333,0,0
145,150.683333333333,0,0
146,151.333333333333,0,0
147,154.416666666667,0,0
148,145.916666666667,0,0
149,149.866666666667,0,0
150,123.6,0,0
151,77.85,0,0
152,74.2666666666667,4500,0
153,78.85,4500,0
154,77.5666666666667,4500,0
155,98.8166666666667,4500,0
156,107.266666666667,4500,0
157,111.083333333333,4500,0
158,124.016666666667,4500,0
159,133.583333333333,0,0
160,226.833333333333,0,0
161,325.35,0,0
162,406.5,0,0
163,390.333333333333,0,0
164,372.2,0,0
