"","Maximum","Mean","Median"
0,1165.83666666667,309.212788432268,250.033333333333
1,1655.64499514707,508.885288003798,423.597338638825
2,2265.13846953411,805.508961249679,740.501985002322
3,3576.39794705556,1197.94251019247,1059.82006666279
4,4132.17049899603,1612.78581002671,1476.69113593614
5,5561.75613151258,2069.93942682437,1955.27845864918
6,6644.54371327592,2523.8249146955,2415.12434345684
7,7029.04464640285,3026.10652626292,2874.20945404817
8,8565.01666846373,3233.37627273177,3050.5426839791
9,8458.1235086572,3337.8038221881,3129.46924423697
