"","Maximum","Mean","Median"
0,4808.48333333333,961.529324581431,226.05
1,5154.25795951464,1161.20182415296,456.256541521276
2,5492.4236762722,1457.82549739884,851.328455894143
3,6045.53540070056,1850.25904634163,1353.19184970231
4,6873.87676605423,2265.10234617587,1896.93609232629
5,7640.24403661433,2722.25596297353,2389.94150745611
6,7989.38743652286,3176.14145084466,2828.48169942796
7,9106.04132736656,3678.42306241208,3339.94109184079
8,9280.81668009284,3885.69280888093,3402.25477430527
9,8868.84381194816,3990.12035833726,3638.13407318208
