"","Maximum","Mean","Median"
0,1072.38666666667,298.200436834094,236.681666666667
1,1558.81150716098,516.329906261541,440.983446678778
2,2108.96993204532,777.111781301697,673.950036769625
3,3594.70341311124,1208.59034145271,1045.11671239119
4,4929.01136875787,1676.6332236281,1611.7231657522
5,5657.29766360094,2171.56721543477,2137.52055494978
6,8121.63937952273,2906.73324507417,2830.73828153832
7,9261.07029786217,3750.59042984227,3736.59293372327
8,13175.985350081,4888.25224768136,4822.87695832554
9,18999.8168339057,6643.98491626999,6522.67332329652
