"","Maximum","Mean","Median"
0,4634.93333333333,893.879355022831,165.766666666667
1,4706.96666666667,951.167939497717,221.466666666667
2,4892.18333333333,1080.70589041096,389.933333333333
3,5312.1,1384.82064687976,730.8
4,6242.63333333333,1840.02101788432,1225.23333333333
5,6932.01666666667,2281.94545471842,1767.71666666667
6,7612.31666666667,2567.22997907154,2075.96666666667
7,7431.28333333333,2711.11485350076,2241.1
8,7705.71666666667,2745.11941971081,2308.65
9,7354.68333333333,2756.13722222222,2289.4
