"","Maximum","Mean","Median"
0,1049.20333333333,225.570029680365,173.718333333333
1,1079.12,266.244820395738,212.698333333333
2,1293.08666666667,368.594329528158,300.403333333333
3,1882.30333333333,572.249892694064,487.651666666667
4,2771.27,886.308020547945,786.158333333333
5,3353.57,1176.45177054795,1035.90666666667
6,3702.46,1408.10780365297,1216.14333333333
7,4034.36,1486.89958447489,1324.92833333333
8,4214.61333333333,1513.4754977169,1337.35166666667
9,4426.49333333333,1546.340695586,1350.46
