"","Maximum","Mean","Median"
0,4650.73333333333,879.204385464231,130.766666666667
1,4706.51666666667,913.402859589041,161.583333333333
2,4818.78333333333,1010.87746765601,279.95
3,5272.78333333333,1217.03562024353,554.516666666667
4,5651.33624647541,1554.98054154092,980.461826960995
5,6333.99069531733,1886.26805214299,1414.28434273073
6,6832.00172138996,2167.04951672519,1762.07714671709
7,7178.95156977422,2365.49919133376,2000.93808392449
8,7268.89780481055,2669.89351872429,2298.31263600317
9,7982.32934635833,3115.92251463252,2793.91713564333
