Name,Growth Rate,Accessibility,Climate,PV size start (kW),PV size end (kW),Storage size first (kWh),Storage size first - post deg (kWh),Storage size last (kWh),Storage size last - post deg(kWh),LCUE ($/kWh),Initial Capital ($),Emissions Instensity (gCO2e/kWh),Self Consumption (%),Blackouts (%),Unmet Energy (%)
NoGrowth_accessible_total_load,None,Peri-urban,,1.8465859999999998,1.754256700000002,6.9246975,6.145380501658311,6.924697499999991,6.143069228453503,0.297,3979.98,238.599,1.0,0.075,0.047
NoGrowth_remote_total_load,None,Rural,,8.567350499999998,9.312337500000014,9.475584999999988,8.694765765170962,8.694765765170962,7.958927925461836,0.205,9636.11,297.165,1.0,0.039,0.049
fast_growth_HSub_climate_accessible_total_load,Fast,Peri-urban,HSub,42.51467360000004,91.74219040000001,100.6926480000003,94.63365998832026,234.94951200000037,213.08125133466655,0.4,68738.08,423.246,1.0,0.065,0.05
fast_growth_HSub_climate_remote_total_load,Fast,Rural,HSub,41.178967200000045,93.79653640000002,91.50881599999991,85.73480515976284,228.77204,207.1827333377399,0.35,64231.91,391.28,1.0,0.068,0.049
fast_growth_TSav_climate_accessible_total_load,Fast,Peri-urban,TSav,17.98272255000004,58.09802669999997,48.41502224999971,44.711740185198174,124.4957714999996,111.26083453650737,0.326,31344.83,385.746,1.0,0.089,0.049
fast_growth_TSav_climate_remote_total_load,Fast,Rural,TSav,19.792072299999983,62.20365579999998,42.41158349999991,38.91919970047001,120.16615325000001,107.18272150558771,0.278,30259.87,357.153,1.0,0.093,0.049
faster_growth_HSub_climate_accessible_total_load,Faster,Peri-urban,HSub,72.27852344999984,248.95935854999982,160.61894100000046,151.17576256632154,642.4757640000009,601.7197037990333,0.508,112741.72,581.891,1.0,0.034,0.05
faster_growth_HSub_climate_remote_total_load,Faster,Rural,HSub,64.64842440000007,266.67475065000025,161.62106100000113,152.3756950819046,606.0789787500012,566.0954284398782,0.474,107839.72,581.933,1.0,0.034,0.05
faster_growth_TSav_climate_accessible_total_load,Faster,Peri-urban,TSav,29.49367380000009,95.85443985000003,73.73418450000008,68.39689131024238,196.6244919999998,175.86063378051526,0.317,49198.25,383.657,1.0,0.092,0.05
faster_growth_TSav_climate_remote_total_load,Faster,Rural,TSav,32.55454475000008,95.15943850000008,62.60489375000023,57.60088870820381,200.33566000000022,179.53279245817546,0.285,46983.47,352.288,1.0,0.088,0.049
fastplus_growth_HSub_climate_accessible_total_load,FastPlus,Peri-urban,HSub,44.580282400000044,167.176059,111.4507059999999,105.26276353470706,390.0774710000004,362.5480990565051,0.51,74364.15,596.996,1.0,0.037,0.05
