Name,Growth,Climate,Accessibility,PV_y0_kW,PV_y5_kW,StoPerPV_y0,StoPerPV_y5,LCUE,Capex,EmIntens,Sto_y0,Sto_y5
NoGrowth_accessible_total_load,None,TSav,Peri-urban,1.8,1.8,3.8,3.9,0.30," 3,980 ",239,7,7
NoGrowth_remote_total_load,None,TSav,Rural,8.6,9.3,1.1,0.9,0.21," 9,636 ",297,9,9
fast_growth_HSub_climate_accessible_total_load,Fast,HSub,Peri-urban,36.9,70.4,3.0,3.1,0.44," 68,060 ",421,109,218
fast_growth_HSub_climate_remote_total_load,Fast,HSub,Rural,36.3,72.5,2.6,2.9,0.37," 62,166 ",382,95,207
fast_growth_TSav_climate_accessible_total_load,Fast,TSav,Peri-urban,15.2,33.9,3.1,2.6,0.33," 28,717 ",344,47,89
fast_growth_TSav_climate_remote_total_load,Fast,TSav,Rural,18.8,34.0,2.1,2.6,0.26," 28,713 ",287,40,89
faster_growth_HSub_climate_accessible_total_load,Faster,HSub,Peri-urban,74.8,246.8,2.0,2.6,0.59," 110,196 ",678,150,636
faster_growth_HSub_climate_remote_total_load,Faster,HSub,Rural,67.8,241.0,2.2,2.7,0.54," 105,711 ",627,151,640
faster_growth_TSav_climate_accessible_total_load,Faster,TSav,Peri-urban,25.1,68.2,2.5,2.4,0.34," 41,914 ",389,63,162
faster_growth_TSav_climate_remote_total_load,Faster,TSav,Rural,27.6,66.3,2.0,2.5,0.30," 40,687 ",340,55,166
fastplus_growth_HSub_climate_accessible_total_load,FastPlus,HSub,Peri-urban,49.5,153.5,2.0,2.6,0.58," 72,966 ",655,99,396
fastplus_growth_HSub_climate_remote_total_load,FastPlus,HSub,Rural,40.0,160.1,2.5,2.3,0.50," 66,763 ",615,100,375
fastplus_growth_TSav_climate_accessible_total_load,FastPlus,TSav,Peri-urban,18.7,47.5,2.3,2.6,0.36," 29,813 ",394,43,122
fastplus_growth_TSav_climate_remote_total_load,FastPlus,TSav,Rural,17.8,50.5,2.5,2.4,0.30," 29,743 ",351,45,119
medium_growth_HSub_climate_accessible_total_load,Medium,HSub,Peri-urban,22.1,60.8,2.5,3.0,0.49," 36,856 ",518,55,180
medium_growth_HSub_climate_remote_total_load,Medium,HSub,Rural,20.0,57.2,2.5,3.1,0.39," 33,419 ",419,50,179
medium_growth_TSav_climate_accessible_total_load,Medium,TSav,Peri-urban,10.5,21.5,2.9,2.9,0.34," 19,068 ",343,30,63
medium_growth_TSav_climate_remote_total_load,Medium,TSav,Rural,13.7,23.9,2.0,2.6,0.26," 20,003 ",283,27,63
medplus_growth_HSub_climate_accessible_total_load,MedPlus,HSub,Peri-urban,23.3,63.7,2.3,2.9,0.48," 37,367 ",512,54,186
medplus_growth_HSub_climate_remote_total_load,MedPlus,HSub,Rural,20.9,61.0,2.3,3.0,0.38," 33,220 ",423,48,184
medplus_growth_TSav_climate_accessible_total_load,MedPlus,TSav,Peri-urban,10.8,25.3,2.9,3.0,0.36," 19,810 ",361,32,76
medplus_growth_TSav_climate_remote_total_load,MedPlus,TSav,Rural,14.3,28.5,1.9,2.5,0.27," 20,497 ",308,27,71
slow_growth_HSub_climate_accessible_total_load,Slow,HSub,Peri-urban,8.3,17.0,3.1,3.0,0.40," 15,812 ",391,26,52
slow_growth_HSub_climate_remote_total_load,Slow,HSub,Rural,11.6,18.7,1.5,2.5,0.25," 15,009 ",287,18,47
slow_growth_TSav_climate_accessible_total_load,Slow,TSav,Peri-urban,5.4,10.4,3.2,3.2,0.34," 10,501 ",326,17,33
slow_growth_TSav_climate_remote_total_load,Slow,TSav,Rural,9.7,14.6,1.5,2.2,0.23," 12,589 ",267,15,32
slowplus_growth_HSub_climate_accessible_total_load,SlowPlus,HSub,Peri-urban,8.9,31.9,3.0,3.2,0.52," 16,499 ",541,27,102
slowplus_growth_HSub_climate_remote_total_load,SlowPlus,HSub,Rural,12.2,31.8,1.5,2.9,0.35," 15,733 ",398,19,94
slowplus_growth_TSav_climate_accessible_total_load,SlowPlus,TSav,Peri-urban,5.1,15.0,3.6,2.9,0.38," 10,693 ",389,18,44
slowplus_growth_TSav_climate_remote_total_load,SlowPlus,TSav,Rural,10.1,18.4,1.4,2.3,0.25," 12,394 ",302,14,41
