"end_user","daily_energy","daily_energy_stdev_across_days","daily_energy_stdev_across_users","daily_energy_stdev_across_days_and_users","peak_load","peak_load_stdev_across_users","load_factor","load_factor_stdev_across_users","pv_overlap","pv_overlap_stdev_across_users","seasonal_consistency","seasonal_consistency_stdev_across_users","coincidence_factor"
"Domestic",30.3576630454299,6.2092575250648,35.9913660888374,47.3434608557403,10.4212132768362,14.686128120199,0.12137767391293,0.0280912727582842,0.121984809107729,0.111721894095166,0.809692386671546,0.307243914065706,0.297337046564388
"Bar",231.13097716895,115.882651204976,115.469666793163,292.288320427613,94.0766666666666,127.157945638048,0.102368182496966,0.0130301454141583,0.388566789355235,0.16049289232984,0.756135554300438,0.126396716283227,NA
"Cinema",331.076301369863,243.794862060843,NA,243.794862060843,270.266666666667,NA,0.0510416103493251,NA,0.378793649353742,NA,0.663744367845602,NA,NA
"Hairdresser",127.239109589041,76.5282577467414,94.5965191712702,123.737447646426,80.1916666666665,29.5452783405777,0.0661119763010711,0.0206698766328929,0.433169462397043,0.0972911997785891,0.592153802501792,0.223059694715121,NA
"Mosque",92.3880821917808,78.1887252452003,NA,78.1887252452003,144.333333333333,NA,0.0266709244202601,NA,0.288127113627243,NA,0.371178695767271,NA,NA
"Shop",108.409543378995,91.1746697830452,NA,91.1746697830452,191.616666666667,NA,0.0235734416323813,NA,0.300344518899922,NA,0.464777814172421,NA,NA
"Tailor",330.159155251142,311.711311350771,378.571571135214,508.501000489056,231.091666666666,156.553441354702,0.0595288946037182,0.0304672996788334,0.667143486237673,0.0472360704939489,0.594701436703064,0.0875405431759422,NA
"Workshop",34.852602739726,65.6612806456099,NA,65.6612806456099,236,NA,0.0061533550034827,NA,0.708797086646287,NA,0.681227836016154,NA,NA
"Rice Mill",9030.82191780822,4883.77014826218,NA,NA,2250,NA,0.167237442922374,NA,0.724932457697352,NA,0.411764705882353,NA,NA
"Irrigation Pump",9030.82191780822,4883.77014826218,NA,NA,2250,NA,0.167237442922374,NA,0.711415420171325,NA,0.411764705882353,NA,NA
