"community","month","min","mean","max"
"Gitaraga",1,0,0.13866935483871,0.587
"Gitaraga",2,0,0.14743005952381,0.628
"Gitaraga",3,0,0.167529569892473,0.661
"Gitaraga",4,0,0.160251388888889,0.758
"Gitaraga",5,0,0.191024193548387,0.761
"Gitaraga",6,0,0.177977777777778,0.748
"Gitaraga",7,0,0.201993279569892,0.775
"Gitaraga",8,0,0.205141129032258,0.774
"Gitaraga",9,0,0.177493055555556,0.712
"Gitaraga",10,0,0.147674731182796,0.684
"Gitaraga",11,0,0.130606944444444,0.574
"Gitaraga",12,0,0.127974462365591,0.525
