"community","month","min","mean","max"
"Bhinjpur",1,5.197,15.7693911290323,27.707
"Bhinjpur",2,6.039,20.1599523809524,33.676
"Bhinjpur",3,10.16,24.6523884408602,38.58
"Bhinjpur",4,18.777,30.8570944444444,43.221
"Bhinjpur",5,20.203,33.6154045698925,44.351
"Bhinjpur",6,24.204,32.1584680555556,44.124
"Bhinjpur",7,22.747,26.9890913978495,33.643
"Bhinjpur",8,22.224,25.9230336021505,32.004
"Bhinjpur",9,20.604,25.1453763888889,30.393
"Bhinjpur",10,16.023,22.7546478494624,28.259
"Bhinjpur",11,11.597,19.0133777777778,27.034
"Bhinjpur",12,1.769,14.9031102150538,24.354
