"community","month","min","mean","max"
"Gitaraga",1,13.424,20.0264556451613,28.451
"Gitaraga",2,14.184,20.5594345238095,29.192
"Gitaraga",3,14.358,20.6182647849462,28.369
"Gitaraga",4,14.43,19.9769083333333,28.321
"Gitaraga",5,13.874,19.1589959677419,26.127
"Gitaraga",6,12.474,18.681075,26.24
"Gitaraga",7,10.616,18.9839543010753,27.397
"Gitaraga",8,10.474,19.8637083333333,27.687
"Gitaraga",9,13.531,20.7172861111111,28.919
"Gitaraga",10,12.591,18.9896061827957,27.191
"Gitaraga",11,13.936,19.1071541666667,26.046
"Gitaraga",12,13.966,19.4005282258065,25.813
